DateTime,DateTime_sum,frame_nr,time_sum_ar,Timestamp,StepCount,last_step_time_ar,RightFootGround,LeftFootGround,step_length_sum_ar,hip_pos_list x,      y  ,      z  ,step_hip_list,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
27.11.2023 11:11:22 :484,642,27,0.501899,0.900000,0,-1,1,1,-1,(1.575361, 0.000000, 2.696395),-1,0.884548,0.213646,0.241531,0.211543,0.239153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007828,0.008849,2.466017,2.787884,-0.834652,0.018211,0.548773,-0.043272
27.11.2023 11:11:22 :487,645,28,0.504970,0.933333,0,-1,1,1,-1,(1.575302, 0.000000, 2.696398),-1,0.884548,0.213693,0.241584,0.211584,0.239200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019234,0.021745,3.715043,4.199934,-0.834677,0.018154,0.548741,-0.043224
27.11.2023 11:11:22 :491,649,29,0.509749,0.966667,0,-1,1,1,-1,(1.575261, 0.000000, 2.696399),-1,0.884548,0.213725,0.241621,0.211613,0.239233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008640,0.009767,2.216852,2.506198,-0.834694,0.018115,0.548719,-0.043190
27.11.2023 11:11:22 :495,653,30,0.514205,1.000000,0,-1,1,1,-1,(1.575197, 0.000000, 2.696403),-1,0.884548,0.213777,0.241679,0.211659,0.239285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014493,0.016384,1.313655,1.485115,-0.834721,0.018053,0.548684,-0.043137
27.11.2023 11:11:22 :498,656,31,0.516717,1.033333,0,-1,1,1,-1,(1.575136, 0.000000, 2.696406),-1,0.884548,0.213824,0.241733,0.211701,0.239332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024052,0.027191,3.805360,4.302039,-0.834746,0.017995,0.548652,-0.043088
27.11.2023 11:11:22 :502,660,32,0.520676,1.066667,0,-1,1,1,-1,(1.575102, 0.000000, 2.696409),-1,0.884548,0.213851,0.241763,0.211724,0.239359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008602,0.009725,3.902383,4.411726,-0.834760,0.017962,0.548634,-0.043060
27.11.2023 11:11:22 :507,665,33,0.525276,1.100000,0,-1,1,1,-1,(1.575049, 0.000000, 2.696412),-1,0.884548,0.213877,0.241793,0.211746,0.239384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011550,0.013058,0.641929,0.725714,-0.834781,0.017909,0.548608,-0.043020
27.11.2023 11:11:22 :509,667,34,0.527997,1.133333,0,-1,1,1,-1,(1.574991, 0.000000, 2.696412),-1,0.884548,0.213816,0.241724,0.211686,0.239315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021292,0.024071,3.593685,4.062736,-0.834793,0.017840,0.548594,-0.042992
27.11.2023 11:11:22 :514,672,35,0.532434,1.166667,0,-1,1,1,-1,(1.574957, 0.000000, 2.696412),-1,0.884548,0.213780,0.241683,0.211650,0.239275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007764,0.008777,3.048643,3.446555,-0.834800,0.017799,0.548585,-0.042975
27.11.2023 11:11:22 :516,674,36,0.535013,1.200000,0,-1,1,1,-1,(1.574901, 0.000000, 2.696412),-1,0.884548,0.213721,0.241616,0.211591,0.239208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021779,0.024621,5.436143,6.145674,-0.834812,0.017732,0.548572,-0.042948
27.11.2023 11:11:22 :520,678,37,0.539015,1.233333,0,-1,1,1,-1,(1.574868, 0.000000, 2.696413),-1,0.884548,0.213688,0.241578,0.211557,0.239170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008162,0.009227,3.402198,3.846256,-0.834819,0.017693,0.548564,-0.042932
27.11.2023 11:11:22 :525,683,38,0.543226,1.266667,0,-1,1,1,-1,(1.574817, 0.000000, 2.696414),-1,0.884548,0.213635,0.241518,0.211505,0.239110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012061,0.013635,0.926009,1.046872,-0.834829,0.017633,0.548552,-0.042907
27.11.2023 11:11:22 :528,686,39,0.546545,1.300000,0,-1,1,1,-1,(1.574764, 0.000000, 2.696415),-1,0.884548,0.213579,0.241456,0.211449,0.239048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016136,0.018242,1.228433,1.388769,-0.834840,0.017569,0.548539,-0.042882
27.11.2023 11:11:22 :532,690,40,0.550248,1.333333,0,-1,1,1,-1,(1.574721, 0.000000, 2.696417),-1,0.884548,0.213536,0.241406,0.211406,0.238999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011433,0.012925,1.270095,1.435869,-0.834849,0.017519,0.548529,-0.042861
27.11.2023 11:11:22 :535,693,41,0.553367,1.366667,0,-1,1,1,-1,(1.574674, 0.000000, 2.696418),-1,0.884548,0.213487,0.241352,0.211358,0.238944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015186,0.017168,1.203446,1.360521,-0.834859,0.017463,0.548517,-0.042838
27.11.2023 11:11:22 :539,697,42,0.557131,1.400000,0,-1,1,1,-1,(1.574634, 0.000000, 2.696420),-1,0.884548,0.213447,0.241306,0.211317,0.238899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010593,0.011975,1.221819,1.381292,-0.834867,0.017415,0.548508,-0.042819
27.11.2023 11:11:22 :549,707,43,0.563837,1.433333,0,-1,1,1,-1,(1.574582, 0.000000, 2.696439),-1,0.884548,0.213441,0.241300,0.211311,0.238891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008315,0.009401,0.524030,0.592427,-0.834865,0.017345,0.548515,-0.042804
27.11.2023 11:11:22 :557,715,44,0.571680,1.466667,0,-1,1,1,-1,(1.574488, 0.000000, 2.696474),-1,0.884548,0.213432,0.241289,0.211299,0.238878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012749,0.014413,0.565559,0.639376,-0.834861,0.017221,0.548526,-0.042777
27.11.2023 11:11:22 :563,721,45,0.580896,1.500000,0,-1,1,1,-1,(1.574378, 0.000000, 2.696515),-1,0.884548,0.213421,0.241277,0.211286,0.238863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012729,0.014390,0.006007,0.006791,-0.834857,0.017074,0.548539,-0.042745
27.11.2023 11:11:22 :566,724,46,0.584763,1.533333,0,-1,1,1,-1,(1.574249, 0.000000, 2.696564),-1,0.884548,0.213408,0.241262,0.211270,0.238845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035792,0.040464,5.964156,6.742603,-0.834853,0.016902,0.548555,-0.042707
27.11.2023 11:11:22 :569,727,47,0.587303,1.566667,0,-1,1,1,-1,(1.574194, 0.000000, 2.696585),-1,0.884548,0.213403,0.241256,0.211264,0.238838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022930,0.025923,5.064221,5.725208,-0.834850,0.016830,0.548561,-0.042691
27.11.2023 11:11:22 :573,731,48,0.591700,1.600000,0,-1,1,1,-1,(1.574157, 0.000000, 2.696603),-1,0.884548,0.213417,0.241272,0.211276,0.238852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009363,0.010585,3.092629,3.496282,-0.834847,0.016789,0.548569,-0.042679
27.11.2023 11:11:22 :577,735,49,0.595189,1.633333,0,-1,1,1,-1,(1.574085, 0.000000, 2.696647),-1,0.884548,0.213532,0.241402,0.211387,0.238977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024324,0.027498,4.315733,4.879027,-0.834829,0.016746,0.548599,-0.042650
27.11.2023 11:11:22 :579,737,50,0.598054,1.666667,0,-1,1,1,-1,(1.574027, 0.000000, 2.696683),-1,0.884548,0.213623,0.241506,0.211474,0.239076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023625,0.026709,0.250565,0.283269,-0.834816,0.016713,0.548623,-0.042626
27.11.2023 11:11:22 :584,742,51,0.602672,1.700000,0,-1,1,1,-1,(1.573980, 0.000000, 2.696712),-1,0.884548,0.213699,0.241591,0.211546,0.239158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012012,0.013580,2.514726,2.842950,-0.834805,0.016685,0.548642,-0.042607
27.11.2023 11:11:22 :588,746,52,0.606153,1.733333,0,-1,1,1,-1,(1.573904, 0.000000, 2.696760),-1,0.884548,0.213820,0.241729,0.211663,0.239289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025887,0.029266,3.985544,4.505741,-0.834787,0.016641,0.548673,-0.042576
